WORD_ID,VOCAB_WORD
0,ect
1,subject
2,hou
3,enron
4,com
5,deal
6,pleas
7,ga
8,meter
9,cc
10,pm
11,hpl
12,thank
13,need
14,e
15,daren
16,forward
17,price
18,corp
19,volum
20,know
21,day
22,get
23,new
24,compani
25,mmbtu
26,product
27,may
28,chang
29,j
30,inform
31,http
32,see
33,attach
34,nom
35,let
36,contract
37,time
38,farmer
39,l
40,month
41,would
42,messag
43,xl
44,nomin
45,mail
46,us
47,call
48,sale
49,one
50,follow
51,flow
52,use
53,juli
54,question
55,th
56,robert
57,email
58,sitara
59,ticket
60,p
61,want
62,file
63,look
64,texa
65,servic
66,energi
67,work
68,manag
69,report
70,list
71,number
72,sent
73,go
74,also
75,www
76,pec
77,ena
78,purchas
79,bob
80,actual
81,like
82,x
83,make
84,contact
85,order
86,receiv
87,market
88,origin
89,net
90,b
91,busi
92,take
93,system
94,c
95,back
96,effect
97,provid
98,schedul
99,account
100,avail
101,help
102,daili
103,secur
104,statement
105,per
106,includ
107,could
108,well
109,alloc
110,request
111,mari
112,gari
113,current
114,march
115,deliveri
116,stock
117,offer
118,trade
119,transport
120,offic
121,april
122,issu
123,invest
124,today
125,oper
126,first
127,week
128,rate
129,inc
130,font
131,set
132,free
133,year
134,r
135,plant
136,td
137,line
138,show
139,base
140,custom
141,name
142,addit
143,activ
144,creat
145,click
146,date
147,process
148,melissa
149,meet
150,revis
151,agreement
152,houston
153,send
154,fuel
155,group
156,vanc
157,teco
158,oil
159,ami
160,point
161,w
162,last
163,within
164,tenaska
165,fw
166,june
167,america
168,next
169,expect
170,think
171,januari
172,nbsp
173,georg
174,north
175,note
176,address
177,confirm
178,enter
179,smith
180,term
181,pat
182,f
183,total
184,two
185,less
186,path
187,updat
188,start
189,regard
190,save
191,desk
192,phone
193,plan
194,give
195,pipelin
196,come
197,k
198,complet
199,jacki
200,continu
201,check
202,h
203,best
204,due
205,height
206,high
207,develop
208,fax
209,mark
210,find
211,made
212,place
213,link
214,pill
215,aime
216,money
217,problem
218,onlin
219,special
220,tri
221,project
222,gener
223,lisa
224,hour
225,estim
226,transact
227,tap
228,size
229,requir
230,michael
231,u
232,co
233,team
234,n
235,david
236,octob
237,friday
238,review
239,susan
240,state
241,futur
242,august
243,hsc
244,end
245,pay
246,remov
247,move
248,interest
249,home
250,cotten
251,buy
252,john
253,iv
254,person
255,util
256,taylor
257,discuss
258,increas
259,counterparti
260,megan
261,mani
262,differ
263,internet
264,peopl
265,resourc
266,invoic
267,steve
268,chokshi
269,sure
270,correct
271,width
272,posit
273,industri
274,unit
275,fee
276,septemb
277,result
278,copi
279,still
280,good
281,risk
282,suppli
283,tom
284,right
285,duke
286,intern
287,fyi
288,perform
289,g
290,said
291,info
292,site
293,keep
294,hplc
295,decemb
296,novemb
297,cost
298,feb
299,global
300,control
301,believ
302,sinc
303,wellhead
304,tu
305,detail
306,spot
307,without
308,support
309,extend
310,monday
311,februari
312,center
313,way
314,ship
315,possibl
316,put
317,corpor
318,clyne
319,ask
320,window
321,access
322,respons
323,million
324,grave
325,eastran
326,sell
327,visit
328,lloyd
329,even
330,natur
331,share
332,news
333,jan
334,brian
335,employe
336,na
337,unifi
338,begin
339,power
340,v
341,advis
342,aol
343,young
344,softwar
345,data
346,book
347,limit
348,commun
349,produc
350,repli
351,demand
352,past
353,lee
354,id
355,locat
356,mobil
357,align
358,bill
359,abl
360,parti
361,great
362,must
363,form
364,computron
365,tx
366,pg
367,program
368,section
369,world
370,everi
371,st
372,thursday
373,act
374,much
375,part
376,txu
377,record
378,agre
379,approv
380,stop
381,tr
382,done
383,meyer
384,prior
385,technolog
386,option
387,howard
388,microsoft
389,gather
390,nd
391,long
392,hank
393,jame
394,face
395,hplno
396,notic
397,zero
398,read
399,final
400,say
401,thing
402,rita
403,lannou
404,dec
405,via
406,web
407,dollar
408,tuesday
409,field
410,assist
411,howev
412,feel
413,profession
414,handl
415,type
416,financi
417,applic
418,color
419,understand
420,releas
421,charg
422,talk
423,direct
424,period
425,deliv
426,track
427,pt
428,ad
429,someon
430,pop
431,error
432,thru
433,content
434,featur
435,user
436,mike
437,fact
438,doc
439,soon
440,firm
441,low
442,hope
443,border
444,cd
445,add
446,import
447,buyback
448,pef
449,paid
450,enronxg
451,close
452,spreadsheet
453,weissman
454,gc
455,wynn
456,cover
457,allen
458,cec
459,katherin
460,pipe
461,camp
462,index
463,indic
464,anyth
465,hi
466,event
467,caus
468,anoth
469,public
470,payment
471,either
472,carlo
473,jone
474,regist
475,page
476,hplo
477,href
478,select
479,logist
480,famili
481,relat
482,ls
483,valid
484,mean
485,ce
486,thu
487,sourc
488,advic
489,letter
490,intend
491,iferc
492,medic
493,allow
494,william
495,concern
496,explor
497,reflect
498,viagra
499,except
500,three
501,run
502,materi
503,present
504,imag
505,adjust
506,love
507,got
508,top
509,old
510,br
511,swing
512,wednesday
513,tax
514,imbal
515,ee
516,survey
517,anita
518,repres
519,websit
520,expir
521,item
522,equistar
523,kati
524,document
525,area
526,contain
527,case
528,full
529,better
530,partner
531,announc
532,amount
533,expens
534,fred
535,respect
536,suit
537,assign
538,citi
539,sherlyn
540,thought
541,storag
542,prescript
543,xp
544,adob
545,return
546,alreadi
547,entex
548,morn
549,open
550,involv
551,distribut
552,remain
553,might
554,sever
555,clear
556,qualiti
557,view
558,im
559,facil
560,src
561,scott
562,tess
563,clem
564,bank
565,download
566,reserv
567,watch
568,redeliveri
569,darren
570,exchang
571,credit
572,coastal
573,canada
574,newslett
575,suggest
576,littl
577,zone
578,hold
579,cut
580,alway
581,refer
582,valley
583,pass
584,ray
585,calpin
586,ciali
587,brenda
588,valu
589,action
590,reason
591,real
592,yahoo
593,transfer
594,tomorrow
595,comput
596,stephani
597,never
598,html
599,impact
600,around
601,midcon
602,gco
603,immedi
604,opportun
605,server
606,everyon
607,aep
608,game
609,lauri
610,de
611,cotton
612,later
613,donna
614,associ
615,loss
616,second
617,someth
618,solut
619,ranch
620,donald
621,weekend
622,stacey
623,fill
624,richard
625,head
626,big
627,karen
628,effort
629,commerci
630,parker
631,drug
632,cash
633,promot
634,wish
635,anyon
636,appear
637,network
638,yet
639,word
640,acton
641,properti
642,rodriguez
643,play
644,miss
645,investor
646,unsubscrib
647,arrang
648,outag
649,necessari
650,level
651,lst
652,prepar
653,hotmail
654,med
655,termin
656,publish
657,box
658,beaumont
659,soft
660,stone
661,east
662,life
663,sept
664,recent
665,asset
666,jim
667,sign
668,vlt
669,central
670,cornhusk
671,left
672,cynthia
673,charli
674,feedback
675,countri
676,carthag
677,fund
678,consid
679,shut
680,accept
681,member
682,owner
683,connect
684,legal
685,style
686,verifi
687,victor
688,portfolio
689,thoma
690,version
691,third
692,settlement
693,dave
694,receipt
695,schumack
696,easi
697,found
698,presid
699,claim
700,friend
701,execut
702,approxim
703,tell
704,success
705,write
706,hess
707,reinhardt
708,ic
709,identifi
710,major
711,titl
712,drive
713,retail
714,star
715,care
716,determin
717,ken
718,design
719,els
720,al
721,balanc
722,bring
723,small
724,edward
725,ms
726,basi
727,luong
728,ever
729,happen
730,rememb
731,resolv
732,union
733,answer
734,jeff
735,late
736,roll
737,wait
738,night
739,fix
740,appreci
741,channel
742,director
743,profil
744,cheryl
745,lsk
746,probabl
747,guarante
748,herod
749,hplnl
750,albrecht
751,man
752,potenti
753,methanol
754,reduc
755,side
756,express
757,specif
758,normal
759,mr
760,exxon
761,dow
762,lead
763,particip
764,mention
765,sorri
766,el
767,train
768,papayoti
769,white
770,live
771,decid
772,target
773,mid
774,therefor
775,capit
776,statu
777,paliourg
778,realli
779,bryan
780,depart
781,south
782,monthli
783,turn
784,dfarmer
785,password
786,pro
787,togeth
788,lamphier
789,edit
790,tab
791,valero
792,lot
793,travel
794,code
795,brand
796,privat
797,join
798,flash
799,growth
800,physic
801,format
802,thousand
803,shop
804,bridg
805,hear
806,anticip
807,submit
808,financ
809,everyth
810,print
811,health
812,doctor
813,voip
814,trader
815,text
816,strong
817,notifi
818,card
819,dy
820,cleburn
821,becom
822,jennif
823,longer
824,baumbach
825,ltd
826,reach
827,purpos
828,learn
829,revenu
830,poorman
831,afternoon
832,guy
833,neal
834,mailto
835,janet
836,la
837,build
838,devon
839,latest
840,individu
841,leav
842,short
843,liz
844,duti
845,matter
846,china
847,mg
848,test
849,kind
850,koch
851,hard
852,improv
853,experi
854,stay
855,oo
856,usa
857,given
858,stack
859,etc
860,enhanc
861,occur
862,php
863,awar
864,eol
865,london
866,readi
867,oasi
868,exist
869,lsp
870,rd
871,bgcolor
872,pain
873,lp
874,waha
875,dealer
876,load
877,minut
878,eb
879,stella
880,plu
881,ensur
882,packag
883,confidenti
884,staff
885,mcf
886,affili
887,worldwid
888,riley
889,noth
890,key
891,voic
892,sandi
893,gain
894,pc
895,factor
896,nation
897,lone
898,browser
899,told
900,enrononlin
901,accord
902,sat
903,cp
904,green
905,subscrib
906,enserch
907,profit
908,chanc
909,apach
910,prize
911,light
912,directli
913,sold
914,quick
915,larg
916,propos
917,initi
918,hall
919,stranger
920,cernosek
921,vacat
922,press
923,cs
924,park
925,step
926,away
927,comment
928,kevin
929,room
930,aepin
931,video
932,king
933,discount
934,mm
935,appli
936,nov
937,bellami
938,quot
939,teja
940,condit
941,gif
942,function
943,measur
944,ali
945,enjoy
946,spoke
947,dear
948,benefit
949,saturday
950,bodi
951,lose
952,men
953,wither
954,hey
955,idea
956,abil
957,instruct
958,age
959,hill
960,feder
961,tabl
962,morri
963,jpg
964,forc
965,interconnect
966,object
967,biz
968,charlott
969,boa
970,pull
971,though
972,standard
973,certain
974,middl
975,class
976,happi
977,whole
978,opinion
979,weight
980,referenc
981,commit
982,spam
983,seek
984,elizabeth
985,choos
986,beverli
987,american
988,mccoy
989,match
990,music
991,taken
992,player
993,protect
994,earli
995,draft
996,convers
997,oct
998,capac
999,analyst
1000,complianc
1001,avila
1002,bruce
1003,databas
1004,easttexa
1005,store
1006,research
1007,eric
1008,upon
1009,advanc
1010,safe
1011,land
1012,superti
1013,cdnow
1014,girl
1015,shell
1016,lamadrid
1017,hesco
1018,attent
1019,nguyen
1020,other
1021,salli
1022,god
1023,took
1024,pictur
1025,spring
1026,walker
1027,carri
1028,electr
1029,four
1030,monitor
1031,herrera
1032,consult
1033,hakemack
1034,gpgfin
1035,coupl
1036,entir
1037,agent
1038,vol
1039,non
1040,pool
1041,tammi
1042,dan
1043,sun
1044,kill
1045,super
1046,excess
1047,johnson
1048,quantiti
1049,enough
1050,paso
1051,tina
1052,hello
1053,affect
1054,hr
1055,earl
1056,mind
1057,mar
1058,post
1059,reader
1060,ed
1061,averag
1062,sunday
1063,model
1064,fast
1065,kc
1066,govern
1067,uncertainti
1068,rc
1069,shall
1070,earn
1071,lower
1072,eileen
1073,licens
1074,cheap
1075,pick
1076,respond
1077,hub
1078,mx
1079,simpli
1080,terri
1081,organ
1082,wide
1083,pharmaci
1084,img
1085,ye
1086,reliantenergi
1087,school
1088,expedia
1089,photoshop
1090,acquisit
1091,perfect
1092,entri
1093,phillip
1094,went
1095,role
1096,valign
1097,assum
1098,tel
1099,plain
1100,seem
1101,kimberli
1102,consum
1103,sex
1104,black
1105,button
1106,rebecca
1107,half
1108,air
1109,transit
1110,coordin
1111,broker
1112,leader
1113,ponton
1114,enw
1115,shown
1116,gome
1117,tool
1118,attend
1119,yesterday
1120,ok
1121,appropri
1122,administr
1123,cell
1124,enerfin
1125,histori
1126,draw
1127,btu
1128,gulf
1129,christi
1130,intrast
1131,mop
1132,competit
1133,blue
1134,neon
1135,gift
1136,goal
1137,ext
1138,dynegi
1139,tisdal
1140,hot
1141,rest
1142,div
1143,relief
1144,ceo
1145,san
1146,matt
1147,stori
1148,htm
1149,river
1150,sheet
1151,resum
1152,hotlist
1153,counti
1154,moopid
1155,tetco
1156,assur
1157,dell
1158,instal
1159,none
1160,advantag
1161,grant
1162,epson
1163,paper
1164,near
1165,quit
1166,situat
1167,jill
1168,recommend
1169,mckay
1170,kim
1171,fine
1172,asap
1173,chad
1174,hous
1175,negoti
1176,greater
1177,cours
1178,ago
1179,neuweil
1180,fwd
1181,integr
1182,copano
1183,digit
1184,structur
1185,california
1186,dvd
1187,whether
1188,excit
1189,delta
1190,holm
1191,charlen
1192,agenc
1193,jo
1194,fun
1195,mill
1196,job
1197,stephen
1198,ua
1199,search
1200,exampl
1201,paragraph
1202,mine
1203,five
1204,previous
1205,gtc
1206,sincer
1207,rule
1208,louisiana
1209,daniel
1210,held
1211,fare
1212,drill
1213,petroleum
1214,panenergi
1215,xanax
1216,kelli
1217,chri
1218,bad
1219,svc
1220,gr
1221,heard
1222,greg
1223,collect
1224,decis
1225,htmlimg
1226,olsen
1227,outstand
1228,exactli
1229,instant
1230,tufco
1231,compar
1232,media
1233,rick
1234,heidi
1235,colspan
1236,serv
1237,histor
1238,stand
1239,senior
1240,manual
1241,holiday
1242,linda
1243,common
1244,valadez
1245,prefer
1246,evergreen
1247,grow
1248,multipl
1249,walter
1250,pinion
1251,certif
1252,entiti
1253,environ
1254,corel
1255,region
1256,southern
1257,welcom
1258,macromedia
1259,exclus
1260,wi
1261,liquid
1262,assumpt
1263,morgan
1264,compens
1265,eye
1266,west
1267,variou
1268,advertis
1269,similar
1270,station
1271,prc
1272,bid
1273,quarter
1274,rolex
1275,invit
1276,local
1277,annual
1278,analysi
1279,cass
1280,est
1281,bit
1282,fri
1283,valium
1284,knle
1285,hotel
1286,brown
1287,came
1288,author
1289,hundr
1290,owe
1291,polici
1292,car
1293,sa
1294,dth
1295,acquir
1296,summari
1297,spinnak
1298,huge
1299,categori
1300,avoid
1301,foreign
1302,worth
1303,unaccount
1304,women
1305,advisor
1306,brazo
1307,wast
1308,demokrito
1309,iit
1310,trevino
1311,winfre
1312,export
1313,expand
1314,conflict
1315,red
1316,paul
1317,dalla
1318,epgt
1319,aug
1320,clean
1321,obtain
